Week,price_per_gallon
2020-03-23,1.863
2020-03-16,1.944
2020-03-9,2.052
2020-03-2,2.103
2020-02-24,2.151
2020-02-17,2.062
2020-02-10,2.08
2020-02-3,2.13
2020-01-27,2.188
2020-01-20,2.223
2020-01-13,2.263
2020-01-6,2.273
2019-12-30,2.282
2019-12-23,2.215
2019-12-16,2.228
2019-12-9,2.19
2019-12-2,2.222
2019-11-25,2.236
2019-11-18,2.231
2019-11-11,2.273
2019-11-4,2.243
2019-10-28,2.255
2019-10-21,2.285
2019-10-14,2.282
2019-10-7,2.305
2019-09-30,2.339
2019-09-23,2.361
2019-09-16,2.245
2019-09-9,2.24
2019-09-2,2.241
2019-08-26,2.278
2019-08-19,2.3
2019-08-12,2.346
2019-08-5,2.414
2019-07-29,2.446
2019-07-22,2.476
2019-07-15,2.479
2019-07-8,2.41
2019-07-1,2.37
2019-06-24,2.317
2019-06-17,2.347
2019-06-10,2.362
2019-06-3,2.421
2019-05-27,2.46
2019-05-20,2.494
2019-05-13,2.507
2019-05-6,2.539
2019-04-29,2.554
2019-04-22,2.508
2019-04-15,2.509
2019-04-8,2.417
2019-04-1,2.413
2019-03-25,2.34
2019-03-18,2.264
2019-03-11,2.18
2019-03-4,2.169
2019-02-25,2.124
2019-02-18,2.029
2019-02-11,1.945
2019-02-4,1.931
2019-01-28,1.962
2019-01-21,1.904
2019-01-14,1.901
2019-01-7,1.875
2018-12-31,1.912
2018-12-24,1.974
2018-12-17,2.026
2018-12-10,2.081
2018-12-3,2.124
2018-11-26,2.218
2018-11-19,2.312
2018-11-12,2.404
2018-11-5,2.466
2018-10-29,2.527
2018-10-22,2.585
2018-10-15,2.625
2018-10-8,2.635
2018-10-1,2.606
2018-09-24,2.581
2018-09-17,2.584
2018-09-10,2.591
2018-09-3,2.574
2018-08-27,2.582
2018-08-20,2.587
2018-08-13,2.598
2018-08-6,2.604
2018-07-30,2.609
2018-07-23,2.591
2018-07-16,2.616
2018-07-9,2.63
2018-07-2,2.631
2018-06-25,2.637
2018-06-18,2.681
2018-06-11,2.713
2018-06-4,2.731
2018-05-28,2.741
2018-05-21,2.662
2018-05-14,2.622
2018-05-7,2.621
2018-04-30,2.592
2018-04-23,2.529
2018-04-16,2.488
2018-04-9,2.413
2018-04-2,2.413
2018-03-26,2.38
2018-03-19,2.311
2018-03-12,2.311
2018-03-5,2.32
2018-02-26,2.282
2018-02-19,2.3
2018-02-12,2.357
2018-02-5,2.38
2018-01-29,2.349
2018-01-22,2.31
2018-01-15,2.286
2018-01-8,2.278
2018-01-1,2.28
2017-12-25,2.202
2017-12-18,2.171
2017-12-11,2.235
2017-12-4,2.265
2017-11-27,2.277
2017-11-20,2.288
2017-11-13,2.318
2017-11-6,2.269
2017-10-30,2.241
2017-10-23,2.262
2017-10-16,2.305
2017-10-9,2.37
2017-10-2,2.43
2017-09-25,2.462
2017-09-18,2.502
2017-09-11,2.537
2017-09-4,2.56
2017-08-28,2.176
2017-08-21,2.145
2017-08-14,2.17
2017-08-7,2.173
2017-07-31,2.105
2017-07-24,2.088
2017-07-17,2.052
2017-07-10,2.058
2017-07-3,2.039
2017-06-26,2.08
2017-06-19,2.133
2017-06-12,2.18
2017-06-5,2.203
2017-05-29,2.201
2017-05-22,2.186
2017-05-15,2.159
2017-05-8,2.185
2017-05-1,2.204
2017-04-24,2.224
2017-04-17,2.235
2017-04-10,2.191
2017-04-3,2.129
2017-03-27,2.083
2017-03-20,2.082
2017-03-13,2.09
2017-03-6,2.102
2017-02-27,2.08
2017-02-20,2.082
2017-02-13,2.089
2017-02-6,2.082
2017-01-30,2.091
2017-01-23,2.126
2017-01-16,2.153
2017-01-9,2.168
2017-01-2,2.156
2016-12-26,2.08
2016-12-19,2.044
2016-12-12,2.009
2016-12-5,1.982
2016-11-28,1.905
2016-11-21,1.908
2016-11-14,1.964
2016-11-7,2
2016-10-31,2.032
2016-10-24,2.05
2016-10-17,2.04
2016-10-10,2.034
2016-10-3,1.995
2016-09-26,1.953
2016-09-19,1.961
2016-09-12,1.988
2016-09-5,2.023
2016-08-29,2.035
2016-08-22,1.988
2016-08-15,1.963
2016-08-8,1.954
2016-08-1,1.974
2016-07-25,2.012
2016-07-18,2.022
2016-07-11,2.052
2016-07-4,2.08
2016-06-27,2.116
2016-06-20,2.111
2016-06-13,2.143
2016-06-6,2.142
2016-05-30,2.093
2016-05-23,2.069
2016-05-16,1.988
2016-05-9,2.001
2016-05-2,2
2016-04-25,1.917
2016-04-18,1.914
2016-04-11,1.836
2016-04-4,1.873
2016-03-28,1.862
2016-03-21,1.816
2016-03-14,1.748
2016-03-7,1.605
2016-02-29,1.554
2016-02-22,1.537
2016-02-15,1.543
2016-02-8,1.58
2016-02-1,1.598
2016-01-25,1.63
2016-01-18,1.675
2016-01-11,1.714
2016-01-4,1.746
2015-12-28,1.763
2015-12-21,1.788
2015-12-14,1.789
2015-12-7,1.82
2015-11-30,1.823
2015-11-23,1.867
2015-11-16,1.927
2015-11-9,1.991
2015-11-2,1.924
2015-10-26,1.961
2015-10-19,2.017
2015-10-12,2.057
2015-10-5,2.035
2015-09-28,2.026
2015-09-21,2.036
2015-09-14,2.096
2015-09-7,2.148
2015-08-31,2.212
2015-08-24,2.312
2015-08-17,2.372
2015-08-10,2.359
2015-08-3,2.421
2015-07-27,2.462
